accession_number,artist,title,date,medium,dimensions,edition,matsize,location,notes,photo,condition,value,source,reference,website,image_file_name
CC.2017.DTP.2,"Haas, Ernst","Island of Kyushu, Japan",1981,Dye transfer print,12.75 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73074,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.3,"Haas, Ernst","Lake Huntington, Kenya",1970,Dye transfer print,12.5 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73075,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.4,"Haas, Ernst","Nairobi, Kenya",1970,Dye transfer print,12.5 x 19 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73076,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.5,"Haas, Ernst",New England,1973,Dye transfer print,12.75 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73077,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.6,"Haas, Ernst",Sicily,1965,Dye transfer print,12.75 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73078,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.7,"Haas, Ernst",Surtsey Volcano near Iceland,1965,Dye transfer print,13 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73079,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2003.GSP.26,"Haas, Ernst","Times Square, NY",62/97,Gelatin silver print,8.5 x 13 in.,,24 x 20,,"Estate stamp verso, 14x11 paper",,9/27/17,$701,"same, auction 11/4/00",Lempertz,,
CC.2017.DTP.8,"Haas, Ernst",Tobago,1968,Dye transfer print,12.75 x 19.5 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73079,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2017.DTP.9,"Haas, Ernst",Vermont,1968,Dye transfer print,12.75 x 19.375 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73080,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
AH.1990.GSP.1,"Hale, Sandy",Lizette,1989,Gelatin silver print,12.75 x 7,,20 x 16,,Signature recto,,12/13/17,,,,,
CC.2016.APP.10,"Halpern, Gregory ",Untitiled (California Fire),2014,Archival pigment print,12 x 9.5 in.,8/50,18 x 14,,Signature and edition verso; light work fine print,,11/15/17,,,,http://gregoryhalpern.com/,
CC.2011.CP.2,"Halsmann, Philippe",Andy Warhol,1968,Chromogenic print,14.875 x 11.875 in.,2/100,20 x 16.75,,"17x14 paper, limited ed, removed from frame (conservation)",,12/18/17,"$1,200",,catalog printout,http://philippehalsman.com,
CC.2014.APP.7,"Hamilton, Ann",Cooper's Hawk,2014,Archival pigment print,9 x 7 in.,7/50,18 x 14,,"Signature, date, and edition verso; LightWork, 2015 Print Program",,12/4/17,"$1,000",Lightwork,,http://www.annhamiltonstudio.com,
CC.2011.IP.1,"Harrison, J Darwin",Wood Shed - 25 June 2004 17:09,2004,Ilfachrome print,15.75 x 23.75 in.,,,,mounted on aluminum,,,$975,TPS,TPS auction cat,http://www.darwinjharrison.com,
CC.2018.PB.1,"Harvey, Cig",Running Toward Us,2016,Photo book with chromogenic prints,13 x 11.4 in.,,,,"16 prints included, 10 x 10 in. each",,,"$6,000",Appraisal,PDNB Gallery,https://www.cigharvey.com/,
CC.2018.PB.2,"Harvey, Cig",The Hope Chest,2010,Photo book with chromogenic prints,9.2 x 9.8 in.,,,,"24 prints included, 8 x 8 in. each",,,"$5,500",Appraisal,PDNB Gallery,https://www.cigharvey.com/,
CC.2011.MM.2,"Hatfield, Glenda","Hi Ho Silver Away, #2",2005,Gelatin silver print with oil paint,9.375 x 9.375 in.,,20 x 16,,Signature recto,,11/13/17,$225,list,TPS contact sheet,,
CC.2003.GSP.27,"Herron, Matt",The March from Selma,1965,Gelatin silver print,7.5 x 13.625 in.,,16 x 20,,"Signature, title, and date verso, Spirit & Struggle Portfolio",,9/20/17,$750,simil MH-13163,A Gallery,,
CC.2011.GSP.20,"Herron, Matt","Selma to Montgomery March for Voting Rights, Alabama",1965,Gelatin silver print,9.0625 x 6 in.,,No mat,,"Signature, title, and date verso, Spirit & Struggle Portfolio",,9/20/17,$450,list price,fotovision,,
CC.2011.GSP.21,"Hetherington, Tim","Dinka Country, South Sudan",2000,Gelatin silver print,6.25 x 9.5 in.,,,,"Signature, title, and date verso, Of This Earth Portfolio #2",,11/2/17,$375,list price,fotovision port2,,
CC.2014.APP.8,"Hewitt, Leslie",Untitled (Structures),2012,Archival pigment print,6.75 x 9 in.,5/50,14 x 18,,"Signature/info sticker verso; LightWork, 2015 Print Program",,12/4/17,$300,Lightwork,,http://www.lesliehewitt.info,
CC.2014.GSP.3,"Hine, Lewis W.","New York City Slums, Children playing baseball",1910,Gelatin silver print,13.75 x 10.875,,,,"George Eastman House, information verso",,10/2/17,$33,auction,price paid,,
CC.2017.APP.3,"Homma, Takashi",Tokyo,2014,Archival pigment print,7.1 x 10 in.,7/30,,,Sticker with signature included; Aperture Collectors Series,,11/15/17,$625,Appraisal,PDNB Gallery,,
CC.2003.GSP.28,"Hooper, Chip",3 1/2 Birds on a Rock,94/98,,10 x 13.0625 in.,41/90,16 x 20,,"Signature, date, and edition recto",,9/20/17,"$2,500","artist quote, Mar 04 via gallery",Robert Klein Gallery,http://www.chiphooper.com,
CC.2011.GSP.22,"Hooper, Chip","Sundown, Huricane Point",2002,Gelatin silver print,18.5 x 23 in.,,,JO 4.122,"window mat 34x28, stamp verso",,,"$2,000",TPS,,http://www.chiphooper.com,
CC.2017.APP.4,"Hoving, Kirsten",Coma Bernices (Bernice's Hair),2010,Archival pigment print,11 x 11 in.,2/20,,,"Signature, title, date, and edition verso, TPS 2017 Print  Program",,11/2/17,$195,Appraisal,PDNB Gallery,,
CC.2003.CP.4,"Hower, Bob",Cooling Towers,91/96,Chromogenic print,9.5 x 12 in.,9/96,20 x 24,,"Signature, title, edition, and date recto, 14x11 paper",,10/2/17,$550,"artist quote, Feb 04",www.qphoto.com,http://www.qphoto.com/artist.asp?ArtistID=26356&AKey=J5BDKN8B,
CC.2003.GSP.29,"Hudnall, Earlie Jr.",Three Drummers,1996,Selenium toned gelatin silver print,13 x 10 in.,,24 x 20,,"Signature, title, and date verso, 11x14 paper",,9/27/17,$938,"simil HipHop, adj",PDNB Gallery,,
CC.2011.GSP.23,"Huitt, Lola",Gary's Eggs (Nest II),2008,Toned silver gelatin from collodion wet plate negative,12 x 9.5 in.,2/25,,,Various information verso,,10/16/17,,,,,
CC.2020.APP.7,"Imam, Omar",Untitled (Suitcase),2008,Archival pigment print mounted on board,12.6 x 17.4 in.,3/10,,,,,,"$1,800",Purchase price,Artist,http://www.omarimam.com/,
CC.2011.GSP.24,"Jahiel, Adam",Three Horses,1999,Sepia toned gelatin silver print,10 x 10 in.,5/29,,,Signature and edition recto,,10/2/17,$225,TPS,Contact sheet,http://www.adamjahiel.com/,
CC.2018.APP.5,"James, Christopher","Gell屍t Baths, Budapest",1983,Archival pigment print,8 x 9.5 in.,,,,Signed,,,$200,Appraisal,PDNB Gallery,,
CC.2013.APP.27,"Jensen, Brooks","Cape Perpetua #32, Oregon Coast, 2005",2013,Archival pigment ink print on rag content paper,6.625 x 8.75 in.,3/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.28,"Jensen, Brooks","Dry Wash, Factory Butte, 2013",2013,Archival pigment ink print on rag content paper,6.75 x 10.5 in.,5/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.29,"Jensen, Brooks","Factory Butte, July 4th, 2013",2013,Archival pigment ink print on rag content paper,6.5 x 8.75 in.,4/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.30,"Jensen, Brooks","Lone Tree, Sunset Crater Volcano, Arizona, 2013",2013,Archival pigment ink print on rag content paper,5.5 x 11 in.,3/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.31,"Jensen, Brooks","Rock Wall, Capital Reef, Utah, 2012 (from Light, Glorious Light)",2013,Archival pigment ink print on rag content paper,10 x 7.5 in.,5/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.32,"Jensen, Brooks","Storm Clouds, Capital Reef, Utah, 2013",2013,Archival pigment ink print on rag content paper,6.125 x 11 in.,7 of open edition,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.33,"Jensen, Brooks","Sunken Boat, Hood Canal, Washington, 1983",2013,Archival pigment ink print on rag content paper,10.25 x 7.25 in.,2/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.34,"Jensen, Brooks","The Dalles Mountain Road, Washington, 2000",2008,Archival pigment ink print on rag content paper,7.5 x 11 in.,2/6,,,"Signature and various info recto, 11x14 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.35,"Jensen, Brooks","Winter Trees #1, Mt. Erie, Fidalgo Island, Washington, 2004",2013,Archival pigment ink print on rag content paper,6.75 x 9 in.,2/5,,,"Signature and various info recto, 9x13 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2013.APP.36,"Jensen, Brooks","Winter Trees #2, John Day River, Oregon, 1989",2007,Archival pigment ink print on rag content paper,7.25 x 10 in.,2/6,,,"Signature and various info recto, 11x14 paper",,10/2/17,,,,http://www.brooksjensenarts.com/,
CC.2014.PP.1,"Johndrow, David",Toad,2004,Platinum/Palladium print,7 x 7 in.,8/20,,,"Signature and various info verso, TPS 2011 Print Program",,10/2/17,$195,TPS,,http://www.davidjohndrow.com/,
CC.2003.GSP.30,"Johnson, Stephen","Ice Fall, Bear Lake, Rocky Mountain National Park",1994,Gelatin silver print,9 x 11.375 in.,,24 x 20,,"Signatue recto, 11x14 paper",,9/27/17,"$2,500","artist quote, Feb 04",sjphoto@aol.com,,
CC.2003.GSP.31,"Jordahl, Geir","Canyonlands, Utah",1990,Toned gelatin silver print,17 x 7.125 in.,,28 x 22,,"Signature, title, and date recto, 16x20 paper",,11/6/17,"$2,500","artist quote, Feb 04",geirj@sbcglobal.net,,
CC.2003.GSP.32,"Jordahl, Kate",Yosemite Falls in Spring,93/95,,8 x 5.3125 in.,,No mat,,"Signature and title recto, 8x10 paper",X,9/25/17,"$1,200",artist quote Feb 04,kate@jorhahlphoto,http://www.katejordahl.com/,
CC.2011.UP.1,"Katchian, Sonia","Kyoto, Saihoji",,Ultrachrome print,6.875 x 9.25 in.,4/50,11 x 14,,Signature and edition recto,,10/2/17,$400,list,TPS auction cat,,
CC.2011.APP.21,"Katchian, Sonia",Phone at Gene's Loft,1970,Archival pigment print,4 x 6.25 in.,1/5,14 x 11,,Signature verso,,10/16/17,$700,TPS,TPS auction cat,,
CC.2011.APP.22,"Keimig, Lance","Tres Cruces, Terlingua",2007,Lucia pigment print,10.25 x 10.25 in.,,20 x 16,,"Signature, title, and edition recto",,11/6/17,,,,http://www.lancekeimig.com/,
CC.2011.GSP.25,"Kellenberger, Max","Four Fishing Poles, San Francisco, 2003",2005,"Sepia, selenium toned silver gelatin print",4.5 x 6.75 in.,4/20,20 x 16,,"Embossed stamp recto, signature, title, date, and edition verso",,9/27/17,$225,list,TPS contact sheet,http://www.maxkellenberger.com/,
CC.2011.APP.23,"Ketchum, Robert Glenn",Tidal Flats & River Delta,1999,Fuji Crystal Archive,13.75 x 19 in.,,,,"Signature, title, and date recto",,11/8//17,,,,http://www.robertglennketchum.com/#p=-1&a=-1&at=0,
 CC.2011.GSP.26,"Kirby, Don","Ghost Forest, OR",93/04,Selenium toned silver gelatin print,13.5 x 10.625,,20 x 16,,"Dry mount, signature and date recto, stamp on mat verso",,9/27/17,,,,http://www.donkirby.com/,
CC.2014.GSP.4,"Kirby, Don","Ghost Forest, OR",93/04,Selenium toned silver gelatin print,13.625 x 10.75,,20 x 16,,Signature and date recto,,12/4/17,$700,website,,http://www.donkirby.com/,
CC.2003.GSP.33,"Klett, Mark","Standing before the Solitario Mountains, Fresno City, Texas",89/94,Gelatin silver print,10.75 x 12.5 in.,,16 x 20,,"Title and date recto, 14x11 paper",,12/18/17,$900,standard price for this size image,"Catherin Edelman Gallery, Feb 04",,
CC.2011.APP.24,"Kotz, Jack",Legacy,,Archival pigment print,19 x 15 in.,,,,"A/P, matted and framed 26x22",,,,,,http://www.jackkotz.com/,
CC.2011.GSP.27,"Kozal, Paul A.",The Cypress Grove,2007/08,Toned gelatin silver print,8.25 x 5.625 in.,34/50,,,"Signature recto, various information verso, on 8x10 paper",,,,,,,
CC.2003.GSP.34,"Kozal, Paul A.",Winter,95/00,Gelatin silver print,6.5 x 4.625 in,20/50,20 x 16,,"Sepia toned, signature and edition recto",,9/20/17,$550,gallery quote telecon 2/4/04,Weston Gallery,,
CC.2011.GSP.28,"Kratochvil, Antonin","Palm Sunday, Poland",1978,Gelatin silver print,6 x 9 in.,,,,"Signature and date verso, Of This Earth Portfolio #2",,11/2/17,,,,http://www.antoninkratochvil.com/,
CC.2003.GSP.35,"Kraus, Paula Willmot",Beth/Shadow Fears,1993,Gelatin silver print,9.75 x 9.75 in.,24 x 20,,,"Signature, title, and date recto",,11/8/17,$275,"artist quote, adjusted",Pwk222@aol.com,,
CC.2003.IP.3,"Kruvand, Charles","Pinon Pine Floating in Black, Grand Canyon",96/98,Ilfochrome print,15 x 19 in.,,,????,"16x20 paper, 22x28 mat, framed, signed",,,$500,"price by size, $400 for image/$100 frame",Afterimage Gallery website,http://www.charleskruvand.com/,
CC.2011.PP.1,"Lambert, Wayne","Zenaida, Sierra Tarasca, Michoac㌻, Mexico ",2008/09,Platinum/palladium print,9.5 x 7.375 in.,1/50,18 x 14,,"Signature, title, and edition verso; various info on back of frame",,12/18/17,,,,http://www.waynelambert.net/,
CC.2019.GSP.8,"Lange, Dorothea",Migrant Mother,1936/73,Gelatin silver print,9.5 x 7.5 in.,,,,Framed with Library of Congress print info recto,,,"$5,000",Appraisal,PDNB Gallery,,
CC.2019.GSP.9,"Lange, Dorothea","Abandoned Farm North of Dalhart, Texas",1938,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions lot# 97051,,,$750,Appraisal,PDNB Gallery,,
CC.2019.GSP.10,"Lange, Dorothea","Daughter of Migrant Tennessee Coal Miner Living in American River Camp near Sacramento, California",1936,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions lot# 97051,,,$750,Appraisal,PDNB Gallery,,
CC.2019.GSP.11,"Lange, Dorothea","Salvation Army Officer, San Francisco, California",1939,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions lot# 97051,,,$750,Appraisal,PDNB Gallery,,
CC.2019.GSP.12,"Lange, Dorothea","Young Migrant Mother who Lives in one of the Tents, Calipatria, California",1939,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions lot# 97051,,,$750,Appraisal,PDNB Gallery,,
CC.2003.PP.5,"Langham, Robert III",Snail Hand,94/97,Contact print on Platinum/Palladium paper,6.75 x 4.75in.,,20 x 16,,"Signature and various information verso, 6x8.5 paper",,10/2/17,$500,gallery quote 2/26/04,Donna Rogers Fine Art,,
CC.2011.CP.3,"Laughton, Jean","Dodge - Miles City, Montana",,Chromogenic print,19.5 x 15.5 in.,,,,,,11/8/17,,,,http://www.jeanlaughton.com/,
CC.2011.CP.4,"Laughton, Jean",Ponca City Clouds,,Chromogenic print,19 x 15.5 in.,,26 x 22,,Signature verso; framed,,12/18/17,$975,,TPS auction cat,http://www.jeanlaughton.com/,
CC.2013.APP.38,"Lavalette, Shane",Kaylyn Swinging ,2012,Archival pigment print,8 x 10 in.,25/50,14 x 18,,"Signature, date, edition verso, 2013 Fine Print Program",,10/16/17,,,,http://www.shanelavalette.com/,
CC.2017.APP.5,"Lawrence, Wayne",Maldiya,2008,Archival pigment print,14 x 11.125 in.,6/50,20 x 16,,Signature and edition verso; Light Work 2017 Fine Print,,11/6/17,$300,Appraisal,PDNB Gallery,,
CC.2011.HP.1,"Layton, Laszlo","Untitled (Saiga, Blue Oval)",2009,Hand-made photographic print,9.5 x 7.5 in.,,24 x 20,,"Signature and edition recto, 11x14 paper",,11/6/17,,,,,
CC.2003.GSP.36,"Leipzig, Arthur","Ideal Laundry, Brooklyn",1946,Gelatin silver print,10.625 x 10.5 in.,,24 x 20,,"11x14 paper, signed verso",,,"$1,700",same auction 12/6/00,Friends wthout Border,,
CC.2003.GSP.37,"Leivick, Joel",Underground Quarry Workmen,1988,Gelatin silver print,12.375 x 9.75 in.,,20 x 16,,"Signature, title, and date verso, 11x14 paper",,9/25/17,"$1,000","artist quote, Feb 04",jleivick@stanford.edu,http://joelleivick.com/home.html,
CC.2014.APP.9,"Lender, Heidi",Untitled,,Archival pigment print,10 x 10 in. ,4/25,16 x 16,,"TPS 2011 Print Program, signature and edition verso",,10/9/17,$195,TPS,,http://heidilender.com/,
CC.2011.GSP.29,"Leshko, Isa",Swing Ride at the Big E,,Gelatin silver print,9 x 9 in.,1/20,20 x 16,,"Signature, title, and edition verso",,11/6/17,$675,list,TPS auction cat,http://isaleshko.com/,
CC.2011.PP.2,"Liepke, Peter",After the Game,,Platinum/palladium print,7.25 x 5.25 in.,42819,,,"varioud info verso, on 8x10 stonehenge, signed recto",,,,,,http://www.peterliepke.com/,
CC.2013.GSP.2,"Light, Ken","Child loom worker, Bhiwandi, India, 1996",2004,Gelatin silver print,8.75 x 12.75 in.,,24 x 20,,"Signature, title, and date verso; 11x14 paper",,12/4/17,,,,,
CC.2011.GSP.30,"Light, Ken","Cotton Choppers, Sherard Plantation, Miss",1992,Gelatin silver print,7.5 x 7.5 in.,,20 x 16,,"Signature and date verso, fotovision port 1",,9/25/17,,,,http://www.kenlight.com/,
CC.2013.GSP.3,"Light, Ken","Dancing Saturday night at Margaret's Blue Diamond Club, Clarksdale, Mississippi, 1991",2001,Gelatin silver print,10.5 x 10.5 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.4,"Light, Ken","Drying Alfalfa, Highway 180, Central Valley, California, 2006",2006,Gelatin silver print,10.25 x 10.125 in.,4/5,20 x 16,,"Signature and date verso, 11x14 paper",,9/25/17,,,,,
CC.2013.GSP.5,"Light, Ken","El aqujero international, the international hole, Tijuana/San Ysidro, 1984",2001,Gelatin silver print,10.5 x 10.5 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.6,"Light, Ken","Emerson Rudd (executed Nov. 15, 2001) J-23 wing, Maximum Segregation cell block, Texas Death Row, 1994",2004,Gelatin silver print,8.75 x 13.125 in.,,,,"Signature and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.7,"Light, Ken","Emmanuel and His Mother, Born with cleft lip and seizures near a toxic waste dump, Kettelman, City, California",2010,Gelatin silver print,10.125 x 10.125 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.8,"Light, Ken","Feet of the campesino, Oaxaca, Mexico, 1986",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature, title, and date verso; 11x14 paper",,12/4/17,,,,,
CC.2013.GSP.9,"Light, Ken","Field Workers, Tulare, California, 2008",2009,Gelatin silver print,10.125 x 10.125 in.,,20 x 16,,"Signature, title, and date verso, 11x14 paper",,9/25/17,,,,,
CC.2013.GSP.10,"Light, Ken","Gathering la le紡 (firewood) for cooking, Michoac㌻, Mexico, 1985   ",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature and date verso, 11x14 paper",,9/25/17,,,,,
CC.2013.GSP.11,"Light, Ken","Handwoven campesino sombrero, Oaxaca, Mexico, 1986",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature and date verso, 11x14 paper",,9/25/17,,,,,
CC.2013.GSP.12,"Light, Ken","John, seventy-seven years old and missing three fingers, points to himself in a 1952 panoramic by Rufus Ribble.  Amigo, West Virginia, 2002",2010,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature and date verso, 11x14 paper",,9/25/17,,,,,
CC.2013.GSP.13,"Light, Ken","Laotian Family Strawberry Harvest, $1.50 a flat, Hillsboro, Oregon, 1982",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature, title, and date verso; 11x14 paper",,12/4/17,,,,,
CC.2013.GSP.14,"Light, Ken","Lettuce picker, Corporate Farm, Salinas, California, 198",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,Signature and date verso; 11x14 paper,,12/4/17,,,,,
CC.2013.GSP.15,"Light, Ken","Ohio National Guard Marching on Students Protesting the Cambodian Invasion, Columbus, Ohio 1970",2004,Gelatin silver print,8.75 x 13 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.16,"Light, Ken","River Baptism of Grassybanks Community Church, Devils Fork Hollow, West Virginia, 2001",2009,Gelatin silver print,10.5 x 10.5 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.17,"Light, Ken","Sewing guards' uniform pants, Garment factory, Ellis I Unit, Texas Death Row, 1994",2004,Gelatin silver print,8.75 x 13.125 in.,,24 x 20,,"Signature, title, and date verso; 11x14 paper",,12/4/17,,,,,
CC.2013.GSP.18,"Light, Ken","Sunday Service, Faith Temple Word of Faith, Tutwiler, Mississippi, 1990",2001,Gelatin silver print,10.5 x 10.5 in.,,,,"Signature, title, and date verso, 11x14 paper",,10/4/17,,,,,
CC.2013.GSP.19,"Light, Ken","Veronica, 12 years old, Chopping cotton, New Africa Road, Coahoma County, Mississippi, 1991",2001,Gelatin silver print,10.5 x 10.5 in.,,20 x 16,,"Signature and date verso, 11x14 paper",,9/25/17,,,,,
,"Light, Ken",UNKNOWN,,,,,,,,,,,,,,
CC.2016.GSP.58,"Loebel, Herbert ","Housing Project, Long Island, Back Yards ",,Gelatin silver print,13.625 x 16.5 in.,,,,"Signature verso; Heritage Auctions, Lot #92289",,11/29/17,,,,,
CC.2016.GSP.59,"Loebel, Herbert ","Housing Project, Long Island, Entrances ",,Gelatin silver print,13.625 x 16.5 in.,,,,"Signature verso; Heritage Auctions, Lot #92290",,11/29/17,,,,,
CC.2016.CP.1,"Loebel, Herbert ","Housing Project, Long Island, Sales Office ",,Chromogenic print,13.5 x 16.5 in.,,,,"Signature verso; Heritage Auctions, Lot #92291",,11/29/17,,,,,
CC.2016.CP.2,"Loebel, Herbert ","Housing Project, Long Island, Street ",,Chromogenic print,13.5 x 16.5 in.,,,,"Signature verso; Heritage Auctions, Lot #92292",,11/29/17,,,,,
CC.2015.GSP.1,"Loebel, Herbert ",Urban Signage,1960s,Gelatin silver print,13.5 x 16.5 in.,,24 x 20,,Signature verso; American Heritage Archives,,9/20/17,$44,Auction,Heritage Auctions,,
CC.2015.GSP.2,"Loebel, Herbert ",Urban Signage,1960s,Gelatin silver print,19.5 x 15.7 in.,,24 x 20,,Signature verso; American Heritage Archives,,9/20/17,$44,Auction,Heritage Auctions,,
CC.2003.IP.4,"Lopez, Martina","Heirs Come to Pass, 1",1991/1995,Cibachrome print,11.625 x 19.5 in.,,22 x 28,,"Various information verso, 16x20 paper, Contact Sheet 100, pp 7.",,11/6/17,$600,"artist quote, Feb 04 email",Martina.A.Lopez.29@ND.EDU,http://www.martinalopezphoto.com/0nhikxpk9ae7vezmjdsg1zs55jkfdt,
CC.2003.GSP.38,"Lovett, O. Rufus",Pauline,1990,Gelatin silver print,7.125 x 7.125 in.,,20 x 16,,"8x10 paper, signature, title, and date verso",,9/20/17,$400,email 2-12-04,lovett@kilgore.cc.tx.us,,
CC.2011.GSP.31,"Lowe, Ernest","Cotton Pickers, Pixley, Tulare County CA",1961,Gelatin silver print,10.25 x 10 in. ,,20 x 16,,"Signature recto, portfolio 4",,9/25/17,,,fotovision,http://ernestlowe.com/,
CC.2011.CP.5,"Lynch, Mary Ann",Blue Marilyn,1998,Chromogenic print,9 x 13.5 in.,,16 x 20,,Various information verso,,11/6/17,$675,TPS,TPS auction cat,http://www.maryannlynch.com/,
CC.2003.GSP.39,"Lyon, Danny","Demo Driver, the Wall Stadium",88/93,Gelatin silver print,7.5 x 7.5 in.,,20 x 16,,"Signature and estate stamp verso; from ""the Pits"" series",,9/20/17,"$1,367","sim Llanito, NM",A Gallery,,
CC.2003.GSP.40,"Mallo, Luis",Passengers,1995,Gelatin silver print,7.75 x 5.25 in.,,20 x 16,,"Signature, title, and date verso, 6.3x9 paper",,9/25/17,"$1,000",gallery estimate,bulgergallery.com,,
CC.2016.APP.11,Magnum Photo ,Box Set 74 Magnum Square Prints ,various,Archival pigment print,,,,?????,,,,,,,,
CC.2003.GSP.41,"Mark, Mary Ellen","Vashira & Tashira Hargrove, Suffolk HELP Shelter, NYC",1993,Gelatin silver print,10.375 x 13.125 in.,,20 x 24,,"Signature, title, and date verso, 14x11 paper",,9/27/17,$700,simil Calcutta auction 12/7/03,Christie's East,,
CC.2011.GSP.32,"Martin, Ian","Shanty Home in Kranshoek Township, South Africa",2005,Gelatin silver print,6 x 9 in.,,20 x 16,,"Signature verso, Of This Earth Portfolio #2",,9/25/17,$375,list price,fotovision port 2,,
CC.2011.APP.25,"Martin, Scott",Texas Love Bus,2010,Archival pigment print,12 x 18 in.,,,,"Signature recto, 11x17 paper",,10/16/17,$225,TPS,Contact sheet,http://www.martinphoto.com/,
CC.2011.APP.26,"Mattern, Andy",Tree #12,,Archival pigment print,9 x 13.5 in.,,16 x 20,,Signature and various information verso,,11/6/17,$525,TPS,TPS auction cat,http://www.andymattern.com/,
CC.2018.APP.6,"Mattingly, Mary",Arctic Sunrise,2016,Archival pigment print,16 x 20 in.,,,,"Signed, framed",,,$380,Appraisal,PDNB Gallery,https://marymattingly.com/,
CC.2017.APP.6,"Mattingly, Mary",Navel of the Moon,2008,Archival pigment print,8 x 8 in.,21/50,18 x 14,,"Signature, title, and edition verso; Light Work 2017 Fine Print",,11/6/17,$300,Appraisal,PDNB Gallery,https://marymattingly.com/,
CC.2018.APP.7,"Mattingly, Mary",Purple Mountain,2016,Archival pigment print,16 x 20 in.,,,,"Signed, framed",,,$380,Appraisal,PDNB Gallery,https://marymattingly.com/,
CC.2018.APP.8,"Mattingly, Mary",Waterpod,2009,Archival pigment print,16 x 20 in.,,,,"Signed, framed",,,$380,Appraisal,PDNB Gallery,https://marymattingly.com/,
CC.2016.APP.12,"McDowell, Bill ",Diptych: Farmer (Lee)/Wheat (Evans),1936,Archival pigment print,7.5 x 12.5 in.,13/50,,,Signature and edition verso; light work fine print ,,11/29/17,,,,http://www.billmcdowellphoto.com/,
CC.2016.GSP.60,"McNeil, Robert H.",African-American Boys Reading Comic Books,,Gelatin silver print,7.625 x 9.625,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.61,"McNeil, Robert H.",Diaper Service Truck ,,Gelatin silver print,7.625 x 9.625,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.62,"McNeil, Robert H.",Dorothy Height with Group,1940,Gelatin silver print,7.625 x 9.5in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.63,"McNeil, Robert H.",Jesse Owens at Howard University ,1937,Gelatin silver print,6.75 x 9.5 in.,,,,Permission info verso,,10/11/17,,,,,
